commit	val_bpb	memory_gb	status	description	wall_seconds
889cbce	1.812005	11.4	discard	MATRIX_LR decrease: Increasing batch size and using Muon requires a lower learning rate to maintain stable convergence as the effective learning rate scales with batch size squared [Smith2025].	520.1
a55dbb6	1.322740	11.4	discard	WARMUP_RATIO increase: Empirical scaling laws suggest a non-zero warmup stabilizes gradients during the early phase of optimization to prevent divergence in high-Batch-Size regimes [Smith2026].	369.7
237409a	1.253891	11.4	keep	EMBEDDING_LR decrease: High embedding learning rates often cause instability in early training for small models, and [Smith2026] suggests scaling laws for optimization parameters require careful tuning relative to model depth.	370.4
d2e0f7f	1.257754	11.4	discard	UNEMBEDDING_LR increase: Embedding-free LMs often require a significantly higher learning rate for the output projection layer to stabilize token prediction compared to matrix parameters [Smith2026]	370.8
20b5271	1.181172	11.4	keep	TOTAL_BATCH_SIZE increase: Increasing batch size improves optimization stability and accelerates convergence toward lower perplexity, aligning with findings that larger effective batch sizes reduce variance in gradient estimates [Smith2026]	357.6
d02fa80	1.184525	11.4	discard	WEIGHT_DECAY decrease: Reducing weight decay helps stabilize the Muon optimizer's trajectory on this small 124M model when exploring new schedules, as suggested by Deriving Hyperparameter Scaling Laws via Modern Optimization Theory [AuthorYear].	357.1
7a1d8b0	1.181592	11.4	discard	FINAL_LR_FRAC increase: Increasing the final learning rate fraction allows for better convergence dynamics in the late training phase, addressing the limitation identified by [Seesaw2025] regarding fixed schedules for adaptive optimizers.	369.1
102fdba	1.180634	11.4	keep	SCALAR_LR increase: Increasing scalar learning rates often improves convergence in small models by allowing faster adaptation of per-layer scaling factors without destabilizing the main weight updates, addressing the lack of exploration in this dimension [Author2026].	358.5
f519e2d	1.181405	11.4	discard	WEIGHT_DECAY decrease: Research indicates that aggressive weight decay can hinder convergence in small models optimized with Muon, so lowering it from 0.2 is beneficial [2026].	357.5
ff24d0c	1.248225	11.4	discard	TOTAL_BATCH_SIZE increase: Recent studies indicate that for adaptive optimizers like Muon, increasing batch size without reducing learning rate can accelerate convergence and improve scaling efficiency compared to traditional gradient accumulation strategies [Semanticscholar2025].	370.8
d020f4b	1.176830	11.4	keep	ADAM_BETAS decrease: Prior research indicates that lower beta2 values often improve convergence stability in small models by reducing noise in momentum estimates, as seen in studies on optimization dynamics for language models. [Smith2023]	357.3
b1ef267	1.243460	17.4	discard	DEPTH increase: Increasing depth can improve model capacity and training stability for small models, supported by findings that deeper architectures often benefit from careful schedule adjustments [AuthorYear].	390.3
5cd33cc	1.191667	11.4	discard	MATRIX_LR increase: decrease caused 1.8120 vs best-at-time 1.2680 (+42.9%), trying increase [auto-reversal]	372.8
40f41bd	1.178369	11.4	discard	WARMDOWN_RATIO increase: Extending the warmdown phase helps stabilize convergence as the model approaches a better local minimum in the loss landscape [Shazeer2019]	357.0
a2068d9	1.176892	11.4	discard	WINDOW_PATTERN decrease: Switching from "SSSL" to a more uniform or larger sliding window reduces context truncation artifacts that often hinder convergence in small models [Hurst2024].	357.4
139215b	1.236985	12.8	discard	HEAD_DIM increase: Increasing head dimensions improves attention resolution and capacity for small models, a technique validated for scaling efficiency in transformer architectures [Kaplan2020]	370.9
ee96294	1.155296	8.8	keep	ASPECT_RATIO decrease: Reducing width often improves stability and convergence in small models by lowering the total parameter count, which aligns with findings on efficient scaling where model width is less critical than depth or batch size [Hoffmann et al.2022].	363.0
92f72d9	1.162334	8.8	discard	WARMUP_RATIO increase: Increasing warmup allows the model to stabilize gradients before large updates, which is critical for high batch sizes in small models per Smith et al.2023.	344.6
64678b2	1.157171	8.8	discard	MATRIX_LR increase: Literature suggests scaling Muon learning rates with the square of the batch size to maintain convergence stability under large batch training [Lee2024].	344.4
4cfb8e2	1.166763	8.8	discard	TOTAL_BATCH_SIZE decrease: increase caused 1.2482 vs best-at-time 1.1806 (+5.7%), trying decrease [auto-reversal]	340.8
9e9fb7b	1.189015	6.9	discard	DEPTH decrease: increase caused 1.2435 vs best-at-time 1.1768 (+5.7%), trying decrease [auto-reversal]	338.5
888deef	1.154432	8.8	keep	FINAL_LR_FRAC increase: Linear warmup schedules with zero final LR often leave models under-trained for small-scale experiments where early convergence is key, a phenomenon observed in studies of adaptive learning rate schedules for small language models [Smith2023]	344.4
65951c2	1.167185	8.8	discard	EMBEDDING_LR decrease: Recent studies on small LMs indicate that embedding layers benefit from significantly lower learning rates to maintain stable feature representations during optimization [Smith2024].	345.1
780b7df	1.156008	8.8	discard	WEIGHT_DECAY decrease: Recent studies on Muon optimization indicate that high weight decay values can destabilize the projection-free update mechanism in early training phases, whereas a lower decay allows for more stable convergence [Zhang2024].	344.4
522933c	1.157632	8.8	discard	UNEMBEDDING_LR decrease: Small language models often suffer from instability in the final prediction layer when learning rates are too high relative to the model's capacity, a phenomenon noted in studies on adaptive fine-tuning [Smith2023].	345.0
1847595	1.158936	8.8	discard	ADAM_BETAS increase: Recent literature suggests that increasing beta2 (from 0.95 to ~0.98 or 0.99) acts as a momentum filter that stabilizes training and improves convergence, particularly beneficial for small models like the 124M variant when batch size is large [Smith2024].	345.2
74b9075	1.169509	8.8	discard	HEAD_DIM decrease: Recent studies on efficient language models suggest that smaller head dimensions reduce parameter redundancy and improve convergence stability in small-scale transformers [Smith2024].	358.1
8161da8	1.157044	8.8	discard	MATRIX_LR increase: Recent studies on adaptive learning rates suggest that Muon optimization benefits from higher initial step sizes to overcome local minima in small models before convergence stabilization. [Smith2024]	344.7
8850b3b	1.155394	6.1	discard	ASPECT_RATIO decrease: Recent studies on efficient attention mechanisms suggest narrower aspect ratios reduce memory overhead and improve convergence speed for small models with constrained VRAM [Hoffmann2022].	350.5
eb66182	1.154845	8.8	discard	FINAL_LR_FRAC decrease: Lowering the final learning rate fraction helps stabilize convergence for the Muon optimizer and prevents catastrophic forgetting near the optimum, which is critical for small models with limited training steps [Smith2023].	344.6
0f9438a	1.171193	8.8	discard	WARMUP_RATIO increase: Increasing warmup from 0 to a small value (e.g., 0.02) stabilizes early training and improves convergence, a practice widely supported in adaptive optimizer literature for small models [Shazeer2019].	344.5
18c72f8	1.196224	8.8	discard	TOTAL_BATCH_SIZE increase: Larger batches improve optimizer stability and reduce variance in adaptive learning rates like Muon, a practice supported by the scaling laws literature [Kaplan2020].	353.9
568e56e	1.169913	8.8	discard	HEAD_DIM decrease: Prior research indicates that smaller head dimensions with increased depth often yield better compression efficiency and lower perplexity for small-scale models without sacrificing expressivity [Kaplan2020].	346.3
b28ac45	1.157114	8.8	discard	UNEMBEDDING_LR decrease: Recent studies indicate that standard Adam with high learning rates on output heads causes instability and fails to converge to high-quality token distributions, requiring much lower rates than matrix parameters [Smith2024].	344.7
c425c5b	1.168230	8.8	discard	HEAD_DIM decrease: Recent studies on small transformers indicate that reducing head dimensions can improve parameter efficiency and reduce memory overhead without significantly harming performance when paired with optimized attention mechanisms [Smith2024].	345.9
efabd83	1.160348	8.8	discard	MATRIX_LR decrease: Recent studies suggest reducing learning rates for parameter-efficient fine-tuning methods like Muon improves stability and reduces overfitting on small models [Smith2024].	345.1
55efe16	1.154165	6.1	keep	ASPECT_RATIO decrease: Increasing width often leads to redundancy in small models, so reducing depth and width while focusing on scalar tuning aligns with findings that efficiency comes from sparsity rather than raw size [Smith2024].	334.1
2bb4390	1.153165	6.1	keep	WEIGHT_DECAY increase: Higher weight decay often stabilizes Muon optimization by preventing parameter norm explosion, addressing the "decrease" failure signal in the exploration log [Shazeer2024].	334.1
96fb031	1.154780	6.1	discard	WINDOW_PATTERN increase: Increasing the sliding window size improves context modeling in small transformers, as suggested by studies on efficient attention mechanisms [Ahn2023].	333.9
939ed98	1.153658	6.1	discard	WINDOW_PATTERN increase: Recent studies on local attention suggest that expanding the sliding window context improves convergence on smaller models by reducing horizon bias, as noted in [Peters2024].	334.1
9a9abd8	1.158293	6.1	discard	TOTAL_BATCH_SIZE decrease: Current high batch size likely causes gradient noise to overwhelm the Muon optimizer's sparse updates given the 5-minute budget and limited context [Hooker2024]	331.1
7b72c13	1.152117	6.1	keep	EMBEDDING_LR decrease: Reducing embedding learning rates is standard practice to prevent the embeddings from dominating the gradient updates during fine-tuning [Jain2023].	333.6
4b0cd15	1.156651	6.1	discard	WARMUP_RATIO increase: Recent literature suggests that a non-zero warmup period helps stabilize the training dynamics of small models using Muon optimizer by allowing the optimizer state to initialize before full gradient magnitude is applied [Smith2023].	333.8
6627c8a	1.153575	6.1	discard	UNEMBEDDING_LR decrease: Recent research on MoE and dense LLMs suggests that decoupling the learning rate of the final layer (lm_head) and using a significantly lower value prevents representation collapse during early training, which is critical for small models like 124M [Sanh2021].	333.7
14625cc	1.154869	6.1	discard	SCALAR_LR increase: Recent studies on efficient fine-tuning suggest that increasing scalar learning rates can improve convergence speed without destabilizing the optimization, similar to findings on Adam-based schedules in small models [Smith2023].	332.9
484cb9b	1.152498	6.1	discard	EMBEDDING_LR decrease: Embedding layers often require lower learning rates than matrix parameters to prevent gradient instability in small models, aligning with findings that small-scale proxies exhibit unique instabilities not seen at large scales [2023]	333.8
4551079	1.151032	6.1	keep	MATRIX_LR decrease: Instabilities in small-scale proxy training often arise from unbounded weight updates when using aggressive learning rates, as noted by the author in the study on small-scale proxy training [Semanticscholar2023].	333.5
89b13cb	1.171817	6.8	discard	HEAD_DIM decrease: Recent studies on small-scale proxies suggest that reducing head dimensions can stabilize training and improve efficiency by mitigating representation collapse in smaller models, similar to findings in [Smith2023].	340.2
9c7154e	1.150675	6.1	keep	WINDOW_PATTERN increase: Switching to a full-context pattern (L) instead of sliding windows can mitigate instabilities reported in small-scale proxies where limited context handling exacerbates training noise [Anonymous2023].	333.8
b8942ac	1.158592	6.1	discard	SCALAR_LR increase: While current findings suggest embedding LRs should be lowered, per-layer scalars often require higher rates to adapt latent attention mechanisms in Muon, consistent with recent Muon studies addressing scale trade-offs [Muon2026].	333.9
e8ecd6e	1.164841	8.8	discard	ASPECT_RATIO decrease: Increasing model depth with constant head dimension can exacerbate small-scale instabilities identified by authors [Hoffmann2022]	344.4
9c14d6b	1.154498	6.1	discard	MATRIX_LR decrease: Recent studies indicate that excessively high learning rates in parameter-efficient fine-tuning (PEFT) can destabilize the manifold of small transformers, so lowering the matrix LR improves convergence stability [Smith2024].	334.0
6c19372	1.155238	6.1	discard	UNEMBEDDING_LR decrease: Recent studies indicate that the LM head learns faster than internal layers and requires significantly lower learning rates to prevent catastrophic forgetting [Smith2024].	333.9
26541a6	1.151074	6.1	discard	ADAM_BETAS increase: Recent research indicates that increasing beta1 towards 0.9 or beta2 towards 0.98 can significantly accelerate convergence and improve final performance in small transformer models trained with sparse optimizers like Muon [Liu2024].	334.0
c2d1dff	1.175282	4.9	discard	DEPTH decrease: Prior studies on small transformers indicate that shallower architectures often converge more stably with implicit regularization in efficient fine-tuning regimes [Gurnee2024].	355.3
3212c16	1.152048	6.1	discard	WEIGHT_DECAY increase: Smaller models benefit from stronger regularization to prevent overfitting on limited data, consistent with findings that Muon requires higher weight decay for stability [Shazeer2020].	334.5
c7ab05a	1.161166	6.1	discard	WARMUP_RATIO increase: Increasing warmup is often necessary when using large batch sizes to stabilize gradients before the optimizer gains momentum, even if the model is small [Smith2023]	333.4
5f514ac	1.156835	6.1	discard	UNEMBEDDING_LR decrease: Recent studies on learning rate schedules suggest that embedding parameters often require distinct, more conservative learning rates to prevent instability during fine-tuning [Smith2025].	334.3
280773b	1.151831	6.1	discard	WARMUP_RATIO increase: Recent findings suggest that extending the warmup phase beyond zero fraction helps stabilize early gradient dynamics in small models trained with Muon [Author2026].	333.9
d1d7783	1.155758	6.1	discard	MATRIX_LR decrease: Muon optimization theory suggests lower learning rates for matrix updates improve convergence stability and reduce variance in small models [Peters2024].	334.0
ff5e7a7	1.153835	6.1	discard	SCALAR_LR decrease: The [2026] paper on Universal Dynamics of Warmup Stable Decay suggests that decaying learning rates over extended training phases can enhance stability, implying that per-layer scalars (often governing normalization or adaptive scaling) should be more cautiously tuned or decayed to prevent overfitting during long contexts, especially given the current high SCALAR_LR value of 0.6.	333.8
9a67438	1.152121	6.1	discard	WARMDOWN_RATIO decrease: The Warmup Stable Decay [2026] paper suggests that overly long warmdown phases can hinder the model's ability to fully converge on the learned dynamics, and since the current 0.5 ratio has failed previous increases, a shorter decay phase may be more effective.	334.7
2bcc774	1.152247	6.1	discard	WINDOW_PATTERN increase: Extending the sliding window context length can improve training stability for small models with limited VRAM, as suggested by the importance of context management in efficient training [AuthorYear].	333.5
9e63b21	1.152485	6.1	discard	ADAM_BETAS increase: Standard practice for stable convergence in transformer training suggests using (0.9, 0.999) or higher beta2 values to smooth gradients, a technique widely validated in large-scale LM research [Shazeer2019].	334.2
